State,2017-2012_PC_SNAP,2017_2012_PC_SNAPBEN12,2016_2011_PC_SNAP_PART_RATE11,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,2015_2010_PC_FREE_LUNCH,2016_2011_PC_WIC_REDEMP11,2016_2014_PC_WICINFANTCHILD14,2016_2014_PC_WICWOMEN,2017_2012_PC_CACFP,2015_201_PC_REDUCED_LUNCH
Alabama,-2.408419881,-0.2087159212,2.878,0,1,0,0,0,1,1,1,-4.521666848,-0.1583557253,-0.5703357301,-0.009067856848,0.3675240572,-1.319792084
Alaska,-0.4468336115,-0.0396787147,-7.397,0,0,0,0,0,0,1,1,0.3591224188,-0.1899747028,-0.4327004553,-0.1394423653,-0.07943079624,-3.141199498
Arizona,-4.080846938,-0.2107864581,-4.509,1,1,1,1,1,1,1,1,10.12976566,-0.1634524366,-1.242089601,-0.3764998169,-0.03409034676,-4.01983611
Arkansas,-4.098784331,-0.308304499,0.507,0,1,0,0,0,0,1,1,5.534540471,-0.1894284182,-1.259714641,-0.1117817005,0.2204033329,-1.543691868
California,-0.02630164681,-0.03174516769,17.027,0.5,1,0,0,1,1,0,1,3.761460748,-0.152448156,-5.389020629,-0.5085139468,0.6082033022,0.1577438702
Colorado,-1.28895436,-0.1555901154,10.94,0,1,0,0,0,1,1,1,2.541656743,-0.1883169618,-1.428170821,-0.1715749663,0.1539299648,0.7011486789
Connecticut,0.2214417455,-0.03482436794,10.103,0,1,0,0,1,1,1,1,4.672351969,0.007489842881,-1.080562527,-0.05748824973,0.06799516349,0.1101864808
Delaware,-0.9085424422,-0.1546112426,12.507,1,1,0,0,1,1,1,1,-4.40096976,0.2005628117,-2.875293366,-0.1632766266,0.3173678642,-5.809228951
District of Columbia,-4.80022203,-0.1854221125,4.374,0,0,0,0,0,1,1,1,-0.474779179,-0.1317814466,-2.810477208,-0.01290184544,3.178517482,4.09619286
Florida,-2.151001562,-0.09244280485,8.912,1,1,1,1,0,1,1,1,-7.164301278,-0.07089305479,0.01211466925,-0.03934266943,0.3513647068,-4.297435186
Georgia,-3.714863962,-0.2294199826,-0.562,1,0,0,0,1,1,1,1,11.84141767,-0.2141753485,-1.950894387,-0.2660021914,0.01564115493,-3.318195109
Hawaii,-0.8540144681,-0.03171469109,20.89,0,0,0,0,0,1,1,1,4.465989728,-0.3101667359,-3.631795722,-0.3026828769,0.04286473149,-0.592504082
Idaho,-4.639096483,-0.3738257301,4.145,0,0,0,0,1,1,1,1,3.024544653,-0.1535978145,-0.9786915873,-0.4451278434,0.1721515373,-0.1401252512
Illinois,0.1555090482,-0.08920347779,16.273,1,1,0,0,0,1,1,1,6.100333651,-0.1602557872,-3.639592672,-0.341806945,0.1058486404,-0.5628384541
Indiana,-3.824224063,-0.3499073977,1.045,0.5,0.5,0,0,0,0,1,1,2.763009368,-0.05763386275,-1.254987827,-0.2851271211,0.3168683967,-0.4135287566
Iowa,-1.641080448,-0.2428828132,3.784,1,1,0,0,0,1,1,1,3.182405973,-0.6693371245,-0.8511753446,-0.201364554,0.1149394893,-1.046547142
Kansas,-2.536062689,-0.2984008021,9.78,1,1,0,0,0,0,1,1,2.419667899,0.05136466056,-2.421885192,-0.3445725019,-0.09578597135,-1.119602193
Kentucky,-4.670557545,-0.2803166525,-8.181,0,1,1,1,0,1,1,1,5.182752683,-0.2738856513,-1.980222013,-0.3349988846,0.392762233,-2.69673718
Louisiana,-0.7819127111,-0.13540519,7.301,0,1,1,1,0,0,1,1,-2.817291811,-0.1216770583,-1.162999643,-0.1442899672,0.6126095026,-2.190073693
Maine,-5.585121898,-0.365348124,-9.621,0,1,0,0,1,1,1,1,3.558229371,-0.09246589037,-2.312119788,-0.1642973033,-0.06629775266,-0.7351983731
Maryland,-0.8527897825,-0.1452258996,12.387,1,1,0,1,1,1,1,1,6.702898684,-0.03198979783,-0.5530046988,-0.0794647492,0.6148398209,-1.426878808
Massachusetts,-1.769024454,-0.1826452776,3.812,1,1,1,1,1,1,1,1,0,-0.05385129515,0.2039279213,-0.05610438642,0.253622095,#DIV/0!
Michigan,-4.687164239,-0.3019384963,-0.396,1,1,1,1,1,1,1,1,-0.7492992483,-0.248617931,-2.0637173,-0.2983008986,0.1416266284,0.505350623
Minnesota,-1.912416745,-0.2013418667,8.557636364,0,0.01136363636,0.01136363636,0.01136363636,0.9886363636,1,1,1,1.355392738,-0.09658855472,-1.29410784,-0.2044944535,-0.07959237123,-0.8441950303
Mississippi,-4.113599969,-0.2596069662,3.828,0,1,1,1,0,1,1,1,4.896002217,#DIV/0!,-0.5921371607,-0.191300036,0.3108885307,-1.920286184
Missouri,-3.323373876,-0.254343846,-0.767,0,1,0,0,0,0,1,1,5.906184654,-0.1526347295,-2.010492556,-0.3452048866,0.04935440432,-0.476832941
Montana,-1.03540226,-0.1204668879,16.162,0,1,0,0,1,1,1,1,2.916159737,-0.2534642028,-1.186995325,-0.1677739005,-0.039067169,-3.187189674
Nebraska,-0.3340988955,-0.0614905611,9.991,1,1,0,0,0,1,1,1,-0.563751672,-0.1770893646,-0.5804712079,-0.0978291948,-0.1767746571,0.1582171871
Nevada,1.802589048,0.06752615239,22.285,0,1,0,0,1,1,1,1,5.066172721,-0.2851022284,-2.151840955,-0.2507430068,0.4184240021,0.8547585844
New Hampshire,-1.964078985,-0.3389152817,1.561,0,1,0,0,1,1,1,1,4.813952895,-0.1758837172,-0.0776103915,-0.1410625997,0.179840018,-1.406917678
New Jersey,-0.2181494614,-0.1541820089,14.596,1,1,1,1,0,1,1,1,4.672768241,-0.03689433512,-1.208644316,-0.08371409304,0.1557223974,-0.8318452231
New Mexico,1.021985988,-0.02568490174,18.779,0,1,0,0,0,1,1,1,7.256954955,-0.1602852317,-2.472377363,-0.3747215449,-0.01812721371,-2.393610026
New York,-1.013305355,-0.1582909099,14.234,0.5,1,1,1,1,1,1,1,8.495541821,-0.06289488317,-1.718969185,-0.1786442915,0.05357941588,-2.704904307
North Carolina,-3.813876045,-0.2353873309,7.06,0,1,1,1,0,1,1,1,14.40559173,-0.09118377779,-1.642780318,-0.1599942103,0.0392508055,-3.408132451
North Dakota,-1.267679999,-0.09043390027,-7.506,0,1,0,0,1,1,1,1,-1.87340961,0.1387565273,-1.194305906,-0.1434998377,-0.02288690262,-0.6364898566
Ohio,-2.775604942,-0.2957356925,-1.318,0,1,0,0,1,1,1,1,2.642621955,-0.08442642923,-1.785792625,-0.1782461938,-0.08775379078,-0.4711386569
Oklahoma,-0.7549934127,-0.1336431624,3.35,0,1,0,0,1,1,1,1,2.894455371,-0.2930772738,-1.375046788,-0.264137511,0.05799408777,-1.561585008
Oregon,-4.505448003,-0.1511340255,0,0,1,0,0,1,1,1,1,0.1635982528,-0.197476896,-3.263650183,-0.4367288572,0.01128329295,0.5533591462
Pennsylvania,0.3002751478,-0.07367464584,13.846,1,1,1,1,1,1,1,1,10.05999589,-0.0284957502,-1.390934435,-0.1353647087,-0.03912641095,-2.620886349
Rhode Island,-0.4897267724,-0.1365401106,15.623,1,1,0,0,1,1,1,1,3.688808247,-0.1226048597,-1.915695728,-0.1763952221,0.00349394555,-0.5755051418
South Carolina,-4.102141825,-0.3103531858,0.142,1,1,1,1,1,1,1,1,12.73270969,-0.05594116047,-1.415257169,-0.4264481984,0.09040047664,-2.849696538
South Dakota,-1.749350661,-0.1756277864,1.103,0,1,0,1,0,0,1,1,0.8142634024,-0.2442612555,-1.156081604,-0.1958749302,-0.003262582981,-0.1561639383
Tennessee,-4.823131333,-0.2815589139,-1.898,1,1,0,0,0,0,1,1,0,-0.04125131386,-2.052046597,-0.2840074803,0.2313610657,#DIV/0!
Texas,-1.631955651,-0.01056194606,1.734,1,1,1,1,1,1,1,1,4.084507893,-0.04100374246,-2.839742906,-0.3807473785,0.7521568982,-0.5678564791
Utah,-3.050204292,-0.2570896924,-7.972,1,1,0,0,0,0,1,1,-0.7086638297,-0.2951887392,-1.083802821,-0.3379924124,-0.04343775745,-0.9785581607
Vermont,-3.162026864,-0.2150025449,6.097,0,1,0,0,1,1,1,1,1.962497824,-0.2034145767,-4.124433723,-0.2866328193,1.50934823,0.5097407629
