State,2013_2008_PC_DIABETES_ADULTS,2020_2017_PC_OBESE_ADULTS,2017_2014_PC_OBESE_ADULTS,2014_2012_PC_OBESE_ADULTS,2016_2011_PC_RECFACPTH
Alabama,2.434328358,2.7,2.8,0.5,0.006484866388
Alaska,0.558908046,-2.3,4.5,4,0.000826534
Arizona,1.68,1.4,0.6,2.9,-0.0007554164667
Arkansas,1.997333333,1.4,-0.9,1.4,0.001113392587
California,1.167241379,5.2,0.4,-0.3,0.003765520931
Colorado,0.8609375,1.6,1.3,0.8,-0.007774163609
Connecticut,0.8,2.3,0.6,0.7,0.01107298563
Delaware,1.5,4.7,1.1,3.8,0.002480186
Florida,1.679104478,0,2.2,1,0.007239883925
Georgia,0.9773584906,2.7,1.1,1.4,0.005699871195
Hawaii,0.16,0.7,1.7,-1.5,0.0033690144
Idaho,0.6727272727,1.8,0.4,2.1,-0.0001038272273
Illinois,1.700980392,1.3,1.8,1.2,-0.00929171599
Indiana,1.942391304,3.2,0.9,1.3,-0.004849656359
Iowa,1.881818182,0.1,5.5,0.5,-0.007517638273
Kansas,1.160952381,2.9,1.1,1.4,0.006184356705
Kentucky,1.390833333,2.3,2.7,0.3,-0.002133629617
Louisiana,0.903125,1.9,1.3,0.2,-0.003197046141
Maine,1.1125,1.9,0.9,-0.2,-0.006387977938
Maryland,1.091666667,-0.3,1.7,2,-0.01009647325
Massachusetts,0.75,-1.5,2.6,0.4,0.01144198943
Michigan,1.427710843,2.9,1.6,-0.4,-0.02220153051
Minnesota,1.271590909,2.198863636,0.9011363636,1.798863636,-0.01890192808
Mississippi,1.609756098,2.4,1.8,0.9,0.006311029793
Missouri,1.925217391,1.5,2.3,0.6,-0.00683965773
Montana,1.285714286,3.2,-1.1,2.1,0.000866092625
Nebraska,0.8301075269,1.2,2.6,1.6,0.0002468216774
Nevada,0.6823529412,2,-1,1.5,0.02616042165
New Hampshire,1.74,1.8,0.7,0.1,0.0194930678
New Jersey,0.8142857143,0.4,0.4,2.3,0.008439779857
New Mexico,2.012121212,2.5,0,1.3,0.002546090909
New York,1.117741935,0.6,-1.3,3.4,-0.0002647356452
North Carolina,1.533,1.5,2.4,0.1,-0.00304685115
North Dakota,0.7377358491,-0.1,1,2.5,0.03022343866
Ohio,1.739772727,1.7,1.2,2.5,-0.001661074466
Oklahoma,1.680519481,-0.1,3.5,0.8,0.005661309532
Oregon,1.897222222,-1.3,1.5,0.6,-0.004477413333
Pennsylvania,1.8,-0.1,1.4,1.1,-0.0001463776567
Rhode Island,1.64,0.1,3,1.3,-0.0184544948
South Carolina,2.126086957,2.1,2,0.5,0.0005870246957
South Dakota,1.375757576,1.3,2.1,1.7,-0.0118786798
Tennessee,2.005263158,2.8,1.6,0.1,0.002178874116
Texas,0.511023622,2.8,1.1,2.7,-0.001591710217
Utah,0.7655172414,3.3,-0.4,1.4,-0.01505562838
Vermont,1.014285714,-1.3,2.8,1.1,0.02006246
Virginia,0.5067837504,2.1,1.6,1.1,0.003509066396
Washington,1.407692308,0.3,0.4,0.5,0.008475856872
West Virginia,1.287272727,1,2.4,1.9,-0.01134187696
Wisconsin,1.256944444,0.3,0.8,1.5,-0.005728846097
Wyoming,1.404347826,1.9,-0.7,4.9,-0.005510314304
