State,2015_2017_to_2012_2014_PC_FOODINSEC,2015_2017_to_2012_2014_PC_VLFOODSEC
Alabama,-0.02976190476,-0.01388888889
Alaska,-0.03333333333,-0.1395348837
Arizona,-0.1256281407,-0.1975308642
Arkansas,-0.1493506494,-0.08064516129
California,-0.1703703704,-0.1960784314
Colorado,-0.3235294118,-0.2692307692
Connecticut,-0.1223021583,-0.2166666667
Delaware,-0.1515151515,-0.08163265306
District of Columbia,-0.0826446281,-0.2391304348
Florida,-0.1376811594,-0.2363636364
Georgia,-0.1719745223,-0.2903225806
Hawaii,-0.3983739837,-0.275
Idaho,-0.07894736842,-0.0652173913
Illinois,-0.219858156,-0.2452830189
Indiana,-0.04273504274,0.06818181818
Iowa,-0.06849315068,-0.109375
Kansas,-0.1635220126,-0.125
Kentucky,-0.16,-0.1285714286
Louisiana,-0.01704545455,0
Maine,0.0625,-0.07317073171
Maryland,-0.168,-0.1041666667
Massachusetts,-0.1111111111,-0.1466666667
Michigan,-0.07482993197,-0.04761904762
Minnesota,-0.08930121528,-0.1248325743
Mississippi,-0.2380952381,-0.3924050633
Missouri,-0.2181818182,-0.09589041096
Montana,-0.008695652174,-0.1481481481
Nebraska,-0.1377245509,-0.125
Nevada,0.07142857143,0.2068965517
New Hampshire,-0.02877697842,-0.01818181818
New Jersey,-0.06,-0.2765957447
New Mexico,-0.264957265,-0.387755102
New York,0.4552845528,0.4347826087
North Carolina,-0.1842105263,-0.1904761905
North Dakota,-0.2430555556,-0.2040816327
Ohio,-0.1893491124,-0.1866666667
Oklahoma,-0.09090909091,-0.0303030303
Oregon,-0.198757764,-0.1428571429
Pennsylvania,0.07079646018,-0.1304347826
Rhode Island,-0.02362204724,0.1914893617
South Carolina,-0.1582733813,-0.2075471698
South Dakota,-0.04201680672,-0.1041666667
Tennessee,-0.2085889571,-0.08064516129
Texas,-0.1860465116,-0.06451612903
Utah,-0.1954887218,-0.170212766
Vermont,0,0.02325581395
Virginia,-0.2222222222,-0.4
Washington,-0.2116788321,-0.2545454545
West Virginia,-0.1228070175,-0.2244897959
Wisconsin,-0.02614379085,0.05084745763
Wyoming,-0.05714285714,-0.03773584906
