State,2012_2007_PC_LOCLFARM,2012_2007_PC_LOCLSALE,2012_2007_PC_DIRSALES,2018_2013_PC_FMRKTPTH,PCT_FMRKT_CREDIT18,PCT_FMRKT_FRVEG18,PCT_FMRKT_ANMLPROD18,PCT_FMRKT_BAKED18,PCT_FMRKT_OTHERFOOD,2012_2007_PC_VEG_ACRESPTH,2012_2007_PC_FRESHVEG_ACRESPTH,2012_2007_PC_ORCHARD_ACRESPTH,2012_2007_PC_BERRY_ACRESPTH,2012_2007_PC_GHVEG_SQFTPTH,FARM_TO_SCHOOL13,FARM_TO_SCHOOL15
Alabama,0.8515561928,0.04803168296,-0.05162743767,0.001229395145,31.12170234,54.25927074,33.27375714,40.47671292,47.40530532,-0.007910299428,0.05630945396,-0.1897561164,0.4111532276,-0.2372318074,0.4126984127,0.4262295082
Alaska,9.237984905,0.3030690142,0.4144160066,0.01545468505,23.14625849,25.05102049,20.1020407,23.50340135,22.90816321,-0.06726972097,-0.8309434112,-0.01674408013,0.3268826755,0.188388418,0.8461538462,1
Arizona,1.909083046,0.3820730312,-0.04372328638,0.001630554302,43.43589757,51.56837591,47.8290596,50.3290596,44.3888888,-0.03515298342,0.2475675245,0.1258226178,2.207709197,3.877024392,0.8,0.8
Arkansas,-0.328436438,-0.07081681143,-0.1645752776,0.01358311861,31.05959585,40.64848475,33.98181808,37.93737361,38.20404027,0.02309163172,-0.4653002142,0.1406192688,-0.3727482366,1.2119388,0.2777777778,0.3243243243
California,3.163201817,-0.02572491685,-0.0003348438701,0.001225409234,52.62891228,57.31890317,45.33111513,51.93755742,51.94982519,-0.03461218179,-0.1814167758,0.2245529327,0.1499943701,2.396077108,0.9464285714,0.8947368421
Colorado,0.5051674281,-0.1022416961,-0.01644114327,0.02927193269,40.55832183,43.05097669,37.96798676,41.63728619,41.89770287,-0.02398567968,-0.6240245589,-0.1713078867,8.27883485,1.346089602,0.6,0.5333333333
Connecticut,1.090700663,0.4281986531,0.08504580659,0.001056650653,39.9588815,37.96483374,36.03031015,37.60769081,37.5184052,-0.007903725787,-0.3129582206,-0.01256661839,0.1677432524,1.65247992,1,1
Delaware,-1.190017462,-0.1145766122,0.08416744206,0.004468728478,71.44607798,81.61764781,73.40686289,71.20098114,69.24019623,-0.07982713505,-0.2149916458,-0.03478509221,0.1168832604,-0.410550743,1,1
District of Columbia,0,0,0,0.0272196494,84.48275757,86.20689392,75.86206818,79.31034851,75.86206818,0,0,0,0,0,1,1
Florida,0.5682412389,-0.1186691106,-0.04230154016,0.001419680579,49.03516866,52.02277807,43.3054879,46.56968643,47.95739074,-0.02406356056,0.07208543383,-0.1573921816,1.319504235,-0.02138206752,0.6307692308,0.7796610169
Georgia,1.849699859,0.4819977661,0.2271852342,0.005146297368,31.11393318,38.65707143,31.51608607,35.05382195,37.08474439,-0.008057947317,-0.5485383439,0.03866558469,0.5034390576,2.110510722,0.5289855072,0.5661764706
