State,MEDHHINC15,POVRATE15,CHILDPOVRATE15
Alabama,39830.10448,22.00746269,31.62835821
Alaska,61646.17857,13.08571429,18.16428571
Arizona,44016.73333,20.52,28.83333333
Arkansas,38592.68,21.16266667,31.21466667
California,57650.93103,16.29482759,22.24655172
Colorado,53810.53125,14.36875,20.784375
Connecticut,72445.125,9.6125,13.1375
Delaware,58722,12.86666667,20.1
District of Columbia,73115,17.7,28.3
Florida,45390.35821,18.39701493,27.2761194
Georgia,42510.31447,21.91257862,31.96352201
Hawaii,67566,12.35,17.8
Idaho,46685.29545,15.15227273,20.55454545
Illinois,52188.06863,13.6872549,20.19117647
Indiana,50966.68478,12.95978261,18.86521739
Iowa,53144.87879,11.71212121,15.80909091
Kansas,49375.7619,12.69619048,17.71809524
Kentucky,41152.04167,21.4075,30.40416667
Louisiana,42974.5625,21.946875,30.7328125
Maine,46777.625,14.5875,20.58125
Maryland,68852.20833,11.475,16.7
Massachusetts,67472.78571,11.59285714,15.30714286
Michigan,46487.62651,15.51686747,23.49277108
Minnesota,55502.55682,10.93863636,14.96590909
Mississippi,36834.79268,25.22439024,35.65243902
Missouri,43271.76522,17.2826087,25.23826087
Montana,45916.91071,15.30892857,20.88392857
Nebraska,51381.63441,11.72365591,16.41290323
Nevada,57020.41176,13.30588235,19.3
New Hampshire,61964,9.97,14.2
New Jersey,72657,10.42380952,15.0047619
New Mexico,41358.06061,21.17575758,30.28181818
New York,55542.93548,14.45967742,20.95483871
North Carolina,43288.85,18.589,27.713
North Dakota,56874.15094,11.52830189,13.93207547
Ohio,50825.48864,14.09545455,20.44772727
Oklahoma,45543.49351,17.05324675,23.51428571
Oregon,47634.80556,16.56666667,24.07777778
Pennsylvania,51610.8209,13.18955224,19.72537313
Rhode Island,65813.4,11.24,14.6
South Carolina,41436.13043,20.84782609,30.40434783
South Dakota,49358.38462,15.38,20.04307692
Tennessee,42519.53684,18.96,27.46947368
Texas,48728.83071,16.81850394,24.68425197
Utah,56898.7931,12.08965517,15.92068966
Vermont,53864.71429,10.68571429,15.21428571
Virginia,54032.75188,14.70676692,20.86466165
Washington,52487,15.09487179,20.86666667
West Virginia,40523.30909,19.16,26.68181818
Wisconsin,53164.93056,11.86666667,17.1875
Wyoming,59936.47826,10.5173913,13.31304348
