State,GROCPTH11,GROCPTH16,SUPERCPTH11,SUPERCPTH16,CONVSPTH11,CONVSPTH16,SPECSPTH11,SPECSPTH16,SNAPSPTH12,SNAPSPTH17,WICSPTH11,WICSPTH16
Alabama,0.2085741492,0.1828606827,0.01879036903,0.02193611606,0.7194637279,0.7335276857,0.03056289331,0.02623625072,1.023794639,1.045681795,0.2106944936,0.187503065
Alaska,0.6926304816,0.7268054811,0.007670775207,0.008242400207,0.3094082658,0.2742474232,0.03415834376,0.04550219338,1.636546282,1.525591872,0.8707210562,0.7768653174
Arizona,0.1446850679,0.1455212042,0.01896126,0.02263086,0.4842418489,0.4685720921,0.0552981926,0.04632772887,0.7332530298,0.7407655863,0.1618548726,0.1494118278
Arkansas,0.2072092027,0.1853963908,0.02416547921,0.02620396479,0.5534389233,0.597866909,0.03594168929,0.03559237805,0.9137130571,0.9516144775,0.1849205598,0.1676346914
California,0.2743514258,0.2600602046,0.004584160862,0.007365727241,0.3312513675,0.3384733873,0.07946003767,0.08011669783,0.6923910352,0.743058726,0.1824778381,0.1507898392
Colorado,0.3689442043,0.3942081136,0.01574937731,0.01706260602,0.5796196448,0.5674930083,0.0727802085,0.07552224541,0.7237563376,0.764669123,0.2323764181,0.2160039259
Connecticut,0.1946397306,0.2044292191,0.00681952625,0.00839585375,0.3349055989,0.3671399846,0.06910455938,0.072652542,0.6046197159,0.6152230661,0.1465654876,0.164453526
Delaware,0.169368542,0.1825509597,0.0137618,0.01476803333,0.3853591913,0.3400447437,0.1098305757,0.08177170333,0.8259432627,0.7678366822,0.1007300715,0.09542803715
Florida,0.1791751338,0.1653343161,0.01655632358,0.01784825925,0.537714051,0.5283439977,0.05798495775,0.06023478928,0.8913658212,0.8645752709,0.1283309571,0.1232608541
Georgia,0.19741847,0.1841801938,0.01447276392,0.01697161866,0.7732596219,0.8128382401,0.03622737648,0.03437369632,1.174872411,1.129673035,0.2157410947,0.1859920246
Hawaii,0.193114773,0.1931270544,0.011379902,0.007218704,0.2891364582,0.2749767402,0.0631388458,0.0584897364,0.5499275581,0.6610846332,0.1310440004,0.1296250969
Idaho,0.2720725408,0.2828247857,0.01432364032,0.01425067664,0.6364766454,0.6073908795,0.06397376277,0.05097331286,0.6702036153,0.7145576377,0.2680272921,0.2634794223
Illinois,0.2191532458,0.2028111323,0.01598724919,0.02123585848,0.475233225,0.5120898383,0.05097019006,0.04702231867,0.7929580642,0.8516073915,0.2234876721,0.2200968814
Indiana,0.1790963662,0.1594358403,0.01699261196,0.02070709239,0.4273412398,0.451378407,0.04609746303,0.04712344533,0.705960784,0.7588787239,0.1684445057,0.1363878053
Iowa,0.2588709914,0.2504266505,0.01458433736,0.01980700145,0.6474301023,0.6049497631,0.05333624768,0.04743370945,0.8565251764,0.9085977856,0.2824301897,0.2607077453
Kansas,0.3428737393,0.3345345807,0.01646547542,0.01748143469,0.560136487,0.5261682488,0.0458710185,0.06771551212,0.7744922491,0.9427525458,0.3075488321,0.2990142774
Kentucky,0.2200668265,0.1985702092,0.01776166406,0.01997700808,0.5843417682,0.5380643164,0.02263475861,0.02385766455,1.109028256,1.052356973,0.3490651355,0.2268607918
Louisiana,0.220871587,0.1943193522,0.02041294577,0.0240686423,0.6527948662,0.6440100753,0.05265343638,0.05050281373,1.025930723,0.984078785,0.1860329083,0.1459853997
Maine,0.3184990085,0.3217633169,0.01099437688,0.01485453125,0.7779403276,0.7515909868,0.109074772,0.1196925973,1.180634865,1.13209808,0.2624101974,0.2246775459
Maryland,0.1886827631,0.1906535296,0.009062867083,0.01498469375,0.3977596126,0.4083009132,0.1025225259,0.09820839721,0.6590377667,0.7087210037,0.1403766209,0.1471113078
Massachusetts,0.2443696844,0.265486355,0.005966090714,0.006767241429,0.441042849,0.4663459449,0.174995195,0.1854321246,0.6618369482,0.6794916712,0.1657674797,0.1515982502
Michigan,0.252529541,0.2474808611,0.0201350043,0.02344855184,0.6075130255,0.5783163921,0.08444806519,0.08884547955,0.9451485289,1.003212193,0.2704170341,0.188921883
Minnesota,0.2712785938,0.259231029,0.01400268336,0.01702315927,0.5393189218,0.5288377797,0.0918183356,0.09340904088,0.64102985,0.7439693335,0.3091113806,0.2897102699
Mississippi,0.201451251,0.1785275669,0.01727775244,0.01922149146,0.7233775146,0.7587490772,0.02723876628,0.02712221826,1.105821701,1.148973133,0.04450129513,0.04023339719
Missouri,0.2364494694,0.2301268874,0.02047712679,0.02337554505,0.6223836096,0.6034853267,0.03998443037,0.04183909043,0.8676389731,0.902900378,0.1856326813,0.1828726947
Montana,0.4770483029,0.4569195257,0.005629178268,0.005824859143,0.5874773703,0.5446923071,0.07639620313,0.05680742886,0.7958799968,0.7727789369,0.4406382421,0.3879902247
Nebraska,0.5128809374,0.471408606,0.01223907332,0.01439373727,0.6793356546,0.7478336835,0.04122023576,0.0616245884,0.7227546396,0.8655982904,0.518640926,0.4242093001
Nevada,0.2853612372,0.2723687832,0.01473875294,0.01602931765,0.5609726235,0.6273689178,0.05015117612,0.04657440753,0.6922030689,0.7310776343,0.177823808,0.1754236312
New Hampshire,0.2392455321,0.2124380243,0.0173331,0.01958759,0.6662867993,0.6156818506,0.0868005081,0.0730968673,0.8048354337,0.8018036518,0.2004110724,0.1570211425
New Jersey,0.2712959986,0.2688154654,0.00641610381,0.009053198095,0.2689947752,0.2772247077,0.1394419159,0.1393301859,0.6476305716,0.6158643807,0.1021397516,0.1123569989
New Mexico,0.2265352352,0.2275834878,0.01991174955,0.02067935094,0.5908431065,0.5751240222,0.03732342076,0.03673958055,0.9557491169,1.123048817,0.1901903766,0.1866964405
New York,0.2946880494,0.3009551805,0.01254902739,0.01589251621,0.4498001784,0.491481554,0.08942110853,0.08275192763,0.8024903917,0.827255095,0.1703062042,0.1477110255
North Carolina,0.2000277125,0.1911007554,0.01285920836,0.01656755842,0.5966236784,0.5768735695,0.056638492,0.06256899512,0.9023802455,0.9628910976,0.2365965372,0.2246032083
North Dakota,0.521401407,0.4563201132,0.007782357283,0.00907003366,0.613456302,0.6502975692,0.08555902385,0.09080812981,0.8457031598,0.8179460293,0.6124708666,0.5361913204
Ohio,0.1824320918,0.1714388056,0.02154559205,0.02227388636,0.4372825396,0.4377693853,0.0510821883,0.04929839119,0.7152928564,0.7708283718,0.1907113434,0.1400125692
Oklahoma,0.2116107102,0.1847758264,0.01790560142,0.02377674649,0.6637811878,0.6990613242,0.03169848531,0.02840343483,0.9380004039,0.9774839081,0.20966239,0.1895468777
Oregon,0.3350708764,0.2874297711,0.03503961569,0.03595272447,0.4745807271,0.5166885026,0.09342303825,0.08417758658,0.9874259387,1.02953986,0.3471953328,0.2778424203
Pennsylvania,0.2069882102,0.1987823965,0.01208844761,0.01432457194,0.3893453259,0.4110569278,0.07629994364,0.07071556407,0.7237465628,0.7568711429,0.1381763554,0.1339187438
Rhode Island,0.1691685166,0.1747718498,0.007936366,0.008958186,0.340723665,0.3268760004,0.1075429184,0.0944247078,0.7184202004,0.6757436121,0.120371294,0.1228625327
