StateFIPS,State,WIC_PART_2012_2013,WIC_PART_2013_2014,WIC_PART_2014_2015,WIC_PART_2015_2016,WIC_PART_2016_2017,WIC_PART_2017_2018,NSLP_PART_2012_2013,NSLP_PART_2013_2014,NSLP_PART_2014_2015,NSLP_PART_2015_2016,NSLP_PART_2016_2017,NSLP_PART_2017_2018,SBP_PART_2012_2013,SBP_PART_2013_2014,SBP_PART_2014_2015,SBP_PART_2015_2016,SBP_PART_2016_2017,SBP_PART_2017_2018,SFSP_PART_2012_2013,SFSP_PART_2013_2014,SFSP_PART_2014_2015,SFSP_PART_2015_2016,SFSP_PART_2016_2017,SFSP_PART_2017_2018,State_Population_2012_2013,State_Population_2013_2014,State_Population_2014_2015,State_Population_2015_2016,State_Population_2016_2017,State_Population_2017_2018
01,Alabama,-0.0007,-0.0017,0.0271,-0.0007,-0.0011,-0.0008,-0.0052,-0.002046,-0.000199,-0.001365,-0.003161,-0.002731,-0.000209,0.002447,0.003538,0.002482,0.000780,-0.000954,0.000859,0.002499,0.001471,-0.000235,0.000580,-0.000109,0.003093,0.0024886,0.00220527,0.00238710,0.0021327,0.00261553
02,Alaska,-0.0029,-0.0047,0.0266,-0.0009,-0.0012,-0.0014,-0.0026,-0.001955,0.003428,-0.001921,0.001649,0.000333,-0.000281,0.000441,0.005466,0.000989,0.001149,0.000429,0.000508,0.002169,-0.001127,-0.001609,0.000381,-0.000918,0.009099,-0.0010013,0.00168408,0.00536508,-0.0023169,-0.00317389
04,Arizona,-0.0020,-0.0018,0.0257,-0.0008,-0.0018,-0.0009,-0.0036,-0.001816,-0.000921,-0.002444,-0.001767,-0.003003,0.001755,0.000969,0.000576,0.000316,-0.000847,-0.000889,-0.000632,-0.000124,-0.001286,-0.000156,-0.000260,0.000305,0.011953,0.0148969,0.01481413,0.01636854,0.0148909,0.01741696
05,Arkansas,-0.0016,-0.0023,0.0281,-0.0013,-0.0015,-0.0011,-0.0058,-0.002004,-0.002594,-0.001731,-0.001389,-0.001425,0.001335,0.001944,0.002315,0.000957,0.000123,0.001408,0.005292,0.001272,-0.005010,0.001525,-0.004120,-0.001798,0.002520,0.0027629,0.00359905,0.00403001,0.0042091,0.00360573
06,California,-0.0014,-0.0025,0.0349,-0.0025,-0.0025,-0.0019,-0.0023,-0.001126,-0.000946,-0.001053,-0.001319,-0.001300,0.002583,0.002975,0.000803,0.000526,-0.000107,-0.000691,0.000246,0.000005,0.000286,-0.000137,0.000715,-0.000204,0.008431,0.0089945,0.00849196,0.00657161,0.0048515,0.00400250
08,Colorado,-0.0016,-0.0012,0.0172,-0.0010,-0.0006,-0.0001,-0.0039,-0.001514,-0.000270,-0.001380,-0.002346,-0.001145,0.002024,0.002032,0.002354,-0.000128,-0.001188,-0.001060,0.000198,0.000162,0.000137,-0.000108,0.001261,-0.000292,0.014780,0.0153185,0.01885346,0.01628985,0.0135322,0.01418508
09,Connecticut,-0.0007,-0.0005,0.0146,-0.0006,-0.0004,-0.0001,-0.0046,0.000798,0.001598,0.000167,-0.001279,-0.001398,0.000398,0.001477,0.002206,0.002046,0.000086,-0.000108,0.000552,0.001420,0.003076,-0.000047,0.001302,-0.000315,0.000145,-0.0000367,-0.00202349,-0.00246271,-0.0013396,-0.00033997
10,Delaware,-0.0018,-0.0012,0.0213,-0.0011,-0.0011,-0.0006,-0.0026,-0.000584,0.002288,-0.000294,-0.000384,-0.002109,0.000586,0.001321,0.006856,0.003160,0.000985,-0.000396,-0.006830,0.001786,0.000421,0.001469,0.003571,-0.000770,0.009233,0.0096986,0.00945425,0.00828860,0.0082826,0.01054564
12,Florida,-0.0009,-0.0012,0.0235,-0.0006,-0.0010,-0.0012,-0.0018,-0.000627,-0.000284,-0.000252,-0.000806,0.000489,0.001583,0.000539,-0.000036,0.001459,0.000412,-0.000097,0.000302,0.000401,0.000247,0.004115,-0.001268,-0.000966,0.012260,0.0151900,0.01832392,0.02006171,0.0168119,0.01537474
13,Georgia,-0.0017,-0.0021,0.0270,-0.0013,-0.0018,-0.0021,-0.0051,-0.002087,-0.001367,-0.002576,-0.002525,-0.003161,-0.001706,0.001259,-0.000658,0.001180,-0.000343,-0.000961,-0.001395,0.002562,0.000207,-0.001389,-0.000061,0.000427,0.007254,0.0095931,0.01113417,0.01214524,0.0105089,0.01021986
15,Hawaii,-0.0008,-0.0018,0.0240,-0.0011,-0.0022,-0.0005,-0.0008,-0.000103,-0.003518,-0.002122,-0.001933,-0.000651,-0.000607,-0.000738,0.000010,-0.001056,-0.001115,-0.001598,0.000099,0.000468,-0.000128,-0.000237,0.000577,0.000105,0.009712,0.0045504,0.00538710,0.00395154,-0.0027323,-0.00260637
16,Idaho,-0.0006,-0.0015,0.0254,-0.0013,-0.0019,-0.0020,-0.0072,-0.002389,-0.001939,-0.001695,-0.003059,-0.003706,-0.001937,-0.000160,0.000297,0.000866,-0.002078,-0.002890,-0.000228,0.003502,-0.004534,-0.000690,0.001123,-0.000782,0.010084,0.0123789,0.01228578,0.01901699,0.0213758,0.02053867
17,Illinois,-0.0007,-0.0011,0.0206,-0.0017,-0.0010,-0.0009,-0.0015,0.000106,-0.001092,-0.001660,-0.001668,-0.000888,0.001598,0.000322,0.000323,0.000717,-0.000404,0.001264,-0.000123,0.001231,0.000083,-0.000989,0.002993,-0.000360,0.001098,-0.0007216,-0.00191016,-0.00291091,-0.0031729,-0.00352849
18,Indiana,-0.0008,-0.0007,0.0236,-0.0011,-0.0007,-0.0001,-0.0036,-0.001437,-0.001236,-0.002439,-0.002208,-0.001830,0.000248,0.000075,0.001656,0.001111,0.000225,-0.000115,0.000600,0.001103,-0.000340,-0.001277,-0.000043,-0.000657,0.004700,0.0038314,0.00223901,0.00379039,0.0040308,0.00477412
19,Iowa,-0.0012,-0.0008,0.0205,-0.0008,0.0002,-0.0006,-0.0044,-0.000859,-0.001071,-0.000346,-0.001716,-0.002027,0.000375,-0.000461,0.001297,0.001621,-0.000254,-0.000392,0.000788,0.000751,0.000200,0.000491,0.000035,0.001011,0.005520,0.0053106,0.00384499,0.00330775,0.0037844,0.00397883
20,Kansas,-0.0015,-0.0018,0.0226,-0.0014,-0.0017,-0.0012,-0.0050,-0.000945,-0.000663,-0.001054,-0.001510,-0.001678,0.001276,0.000732,0.000559,0.001124,0.000354,-0.000472,0.001781,0.000102,0.000896,0.000544,-0.000558,0.000323,0.002824,0.0025526,0.00296667,0.00060526,-0.0001972,0.00028035
21,Kentucky,-0.0008,-0.0019,0.0276,-0.0010,-0.0010,-0.0015,-0.0043,-0.001033,-0.001246,0.000438,-0.001169,-0.002504,0.001383,0.000250,0.000820,0.004319,0.001760,0.001112,-0.002961,0.002942,-0.000067,0.001929,0.006309,0.002396,0.004203,0.0021944,0.00260869,0.00276322,0.0035251,0.00326188
22,Louisiana,-0.0013,-0.0022,0.0281,-0.0004,-0.0016,-0.0015,-0.0057,-0.002889,-0.001745,-0.000428,0.000701,-0.000258,-0.000691,-0.000494,0.000463,0.001423,0.001967,0.001585,0.001844,-0.000272,-0.000831,-0.000767,-0.000891,-0.000644,0.005165,0.0042441,0.00444576,0.00286483,-0.0015812,-0.00232079
23,Maine,-0.0010,-0.0011,0.0172,-0.0008,-0.0011,-0.0008,-0.0048,-0.001219,0.000775,-0.000803,-0.001473,-0.001330,0.000454,0.001453,0.001233,0.001055,-0.000105,0.000151,0.001039,0.000889,0.001198,0.000527,0.000900,-0.000224,0.000380,0.0019304,-0.00171030,0.00217240,0.0027738,0.00250250
24,Maryland,-0.0004,-0.0008,0.0236,-0.0006,-0.0012,-0.0008,-0.0024,-0.000276,0.001493,0.001741,-0.000390,-0.000576,0.003217,0.003876,0.004608,0.001968,-0.001094,-0.001230,0.002659,-0.001473,0.000748,0.000562,-0.000999,0.000030,0.006222,0.0058175,0.00479208,0.00300248,0.0033639,0.00295889
25,Massachusetts,-0.0005,-0.0008,0.0170,0.0001,-0.0003,-0.0007,-0.0036,-0.000405,0.001515,0.000153,-0.000688,-0.000708,0.000067,0.000893,0.002370,0.002434,0.001535,0.000692,-0.000355,0.000285,0.001524,-0.000019,-0.000279,-0.000197,0.007622,0.0074037,0.00476651,0.00443371,0.0054532,0.00566831
26,Michigan,-0.0002,-0.0003,0.0253,-0.0011,-0.0011,-0.0011,-0.0035,-0.001553,-0.001775,-0.002058,-0.002409,-0.000999,0.000145,0.000665,0.001056,0.000397,-0.000283,-0.000383,0.000297,0.000574,0.000902,-0.000680,0.000535,-0.000293,0.001659,0.0017391,0.00019979,0.00194481,0.0024676,0.00195140
27,Minnesota,-0.0008,-0.0007,0.0223,-0.0008,-0.0011,-0.0011,-0.0042,-0.000485,0.000008,-0.000419,-0.001330,-0.001516,0.000266,0.001378,0.004211,0.001568,0.001144,0.000468,-0.000057,0.000725,0.000415,0.000303,0.000898,0.000142,0.006908,0.0069877,0.00568300,0.00746119,0.0081012,0.00772680
28,Mississippi,-0.0011,-0.0012,0.0294,-0.0015,-0.0004,0.0006,-0.0026,-0.000775,-0.001545,-0.000982,-0.003499,-0.003068,-0.000303,-0.000189,-0.000937,0.000405,-0.000497,-0.001136,-0.000388,0.002435,0.000781,-0.000372,0.001037,0.002264,0.001686,0.0006109,-0.00064535,-0.00013216,0.0004568,-0.00104794
29,Missouri,-0.0009,-0.0004,0.0229,-0.0012,-0.0014,-0.0009,-0.0050,-0.001233,-0.000384,-0.001078,-0.002269,-0.001687,0.000889,0.001211,0.001431,0.001109,-0.000892,0.000702,-0.000035,0.002058,0.000127,-0.000277,0.000827,-0.000733,0.002752,0.0025883,0.00255140,0.00254589,0.0035171,0.00292047
30,Montana,-0.0008,-0.0008,0.0188,-0.0004,-0.0010,-0.0009,-0.0034,-0.001480,-0.002016,0.000050,-0.001466,-0.001918,-0.000250,0.000546,0.002060,0.001090,0.000985,0.003661,0.000875,0.001521,-0.000265,0.000761,-0.000678,0.003050,0.009773,0.0082156,0.00842751,0.01005334,0.0117470,0.00875044
31,Nebraska,-0.0015,-0.0007,0.0209,0.0001,-0.0005,-0.0010,-0.0052,-0.001429,-0.001470,-0.000325,-0.000461,-0.000126,-0.000278,0.000986,0.000515,0.002373,0.000786,0.001299,-0.000011,-0.000170,0.001311,-0.001794,0.000659,0.000076,0.006524,0.0075629,0.00637662,0.00762196,0.0061130,0.00609781
32,Nevada,-0.0007,-0.0007,0.0263,-0.0014,-0.0017,-0.0018,-0.0019,-0.002374,0.000089,0.000675,-0.000570,-0.000421,0.001619,-0.001201,0.000553,0.008800,0.005300,-0.002093,0.000997,0.000872,-0.000200,-0.000116,-0.001260,0.000014,0.011807,0.0151388,0.01761397,0.01781525,0.0180264,0.02085416
33,New Hampshire,-0.0005,-0.0008,0.0111,-0.0005,-0.0008,-0.0006,-0.0055,-0.004563,-0.002459,-0.002380,-0.002329,-0.002236,-0.001357,-0.000376,-0.001187,0.000738,-0.000540,0.000402,0.007314,0.001275,-0.000874,-0.000127,-0.001274,-0.000694,0.001847,0.0051379,0.00230344,0.00454915,0.0055082,0.00495715
34,New Jersey,-0.0005,-0.0006,0.0184,-0.0007,-0.0009,-0.0008,-0.0041,-0.000659,0.000721,0.000000,-0.000335,-0.000682,0.002732,0.003454,0.003278,0.002278,0.000381,-0.000359,0.000765,-0.000729,-0.000519,0.001101,0.000413,0.001064,0.001456,0.0009503,0.00046116,0.00041112,0.0015806,0.00224750
35,New Mexico,-0.0013,-0.0014,0.0279,-0.0016,-0.0009,-0.0018,-0.0039,-0.002087,0.000586,0.001143,-0.001040,-0.001701,-0.001327,0.000597,0.000248,0.002782,-0.002784,-0.001417,-0.007728,0.003321,0.000040,-0.000480,-0.001631,0.002195,0.002512,-0.0011707,-0.00006267,0.00123337,0.0002896,0.00097115
36,New York,-0.0006,-0.0014,0.0247,-0.0006,-0.0012,-0.0009,-0.0039,-0.001449,0.000016,-0.000870,-0.000616,0.001088,-0.000240,0.000916,0.000664,0.002658,0.001861,0.000763,0.001173,0.003394,-0.001096,-0.001127,0.000076,0.000363,0.002733,0.0014412,0.00025849,-0.00100817,-0.0025899,-0.00247617
37,North Carolina,-0.0007,-0.0012,0.0257,-0.0010,-0.0013,-0.0011,-0.0046,-0.002501,0.000511,-0.002187,-0.003519,-0.002416,0.001092,0.000882,0.001893,0.000388,-0.000594,-0.001292,0.000496,0.001077,-0.004740,0.000449,0.001799,0.000148,0.009691,0.0091780,0.00997942,0.01231925,0.0112361,0.01098454
38,North Dakota,-0.0011,-0.0010,0.0174,0.0006,-0.0002,-0.0007,-0.0008,0.000372,-0.001130,0.001298,0.000631,0.000690,-0.000250,-0.000496,0.000611,0.001683,0.000348,0.001739,0.000284,-0.000013,0.001915,0.000016,-0.000578,0.002177,0.029785,0.0213061,0.02256632,0.00043898,0.0010910,0.00648988
39,Ohio,-0.0011,-0.0012,0.0216,-0.0008,-0.0012,-0.0011,-0.0046,-0.001300,-0.002823,-0.000659,-0.001888,-0.000992,0.000300,0.000393,0.000403,0.001367,-0.000157,-0.000013,-0.000371,-0.000803,-0.000017,0.000024,0.001134,0.000063,0.002443,0.0022802,0.00128217,0.00147643,0.0025033,0.00217016
40,Oklahoma,-0.0015,-0.0012,0.0295,-0.0007,-0.0013,-0.0019,-0.0032,-0.000378,-0.000641,0.001292,-0.001428,-0.000710,-0.000447,-0.000687,-0.000698,0.001554,-0.000473,-0.000583,-0.000046,0.001408,-0.000050,-0.000857,-0.000076,0.000041,0.009062,0.0065301,0.00811269,0.00433216,0.0014951,0.00265445
