,State,state_abrv,cancer_incidence_rate_age_adj,cancer_incidence_ranking_HighToLow
0,Alabama,AL,450.8,33
1,Alaska,AK,418.6,41
2,Arizona,AZ,385.7,50
3,Arkansas,AR,479.0,10
4,California,CA,402.4,46
5,Colorado,CO,396.6,49
6,Connecticut,CT,465.1,22
7,Delaware,DE,479.6,8
8,Florida,FL,460.2,24
9,Georgia,GA,468.5,16
10,Hawaii,HI,415.5,42
11,Idaho,ID,445.1,37
12,Illinois,IL,466.8,20
13,Indiana,IN,457.9,26
14,Iowa,IA,484.1,3
15,Kansas,KS,457.8,27
16,Kentucky,KY,517.8,1
17,Louisiana,LA,482.4,6
18,Maine,ME,476.0,11
19,Maryland,MD,452.5,31
20,Massachusetts,MA,457.8,28
21,Michigan,MI,448.8,36
22,Minnesota,MN,469.5,14
23,Mississippi,MS,474.4,12
24,Missouri,MO,452.3,32
25,Montana,MT,462.9,23
26,Nebraska,NE,467.7,18
27,Nevada,NV,398.8,48
28,New Hampshire,NH,479.3,9
29,New Jersey,NJ,486.7,2
30,New Mexico,NM,373.2,51
31,New York,NY,483.1,5
32,North Carolina,NC,468.9,15
33,North Dakota,ND,453.2,30
34,Ohio,OH,467.5,19
35,Oklahoma,OK,450.2,34
36,Oregon,OR,430.5,39
37,Pennsylvania,PA,480.0,7
38,Rhode Island,RI,472.8,13
39,South Carolina,SC,449.6,35
40,South Dakota,SD,459.1,25
41,Tennessee,TN,466.0,21
42,Texas,TX,411.2,43
43,Utah,UT,405.4,45
44,Vermont,VT,457.4,29
45,Virginia,VA,411.0,44
46,Washington,WA,442.4,38
47,West Virginia,WV,483.5,4
48,Wisconsin,WI,468.5,17
49,Wyoming,WY,402.1,47
