,State,fast food rest per 1000 pop
,Alabama,81.7
,Alaska,61.9
,Arizona,67.9
,Arkansas,69.9
,California,82.3
,Colorado,75.7
,Connecticut,76.1
,Delaware,78.3
,Florida,65.5
,Georgia,82.5
,Hawaii,97.5
,Idaho,65.5
,Illinois,82.5
,Indiana,73.7
,Iowa,67.7
,Kansas,74.7
,Kentucky,74.2
,Louisiana,76.2
,Maine,74.9
,Maryland,89.7
,Massachusetts,77.5
,Michigan,73.9
,Minnesota,67
,Mississippi,77.3
,Missouri,72.9
,Montana,69.8
,Nebraska,71.9
,Nevada,84.8
,New Hampshire,79.8
,New Jersey,81.2
,New Mexico,73.4
,New York,92.3
,North Carolina,76.9
,North Dakota,65.6
,Ohio,82.8
,Oklahoma,76
,Oregon,73.4
,Pennsylvania,75.5
,Rhode Island,81.3
,South Carolina,73.5
,South Dakota,63.9
,Tennessee,77.8
,Texas,75.8
,Utah,76.2
,Vermont,68.3
,Virginia,80.1
,Washington,66.8
,West Virginia,73.8
,Wisconsin,65
,Wyoming,62.5
