,state_abrv,2014_GWht_TOTAL,fips,State
1,AL,197.14180297939714,01,Alabama
0,AK,285.5188010289244,02,Alaska
3,AZ,40.934741305260005,04,Arizona
2,AR,156.00121730053783,05,Arkansas
4,CA,225.189418082016,06,California
5,CO,94.79246660835351,08,Colorado
6,CT,72.06013400057948,09,Connecticut
7,DE,289.762005089587,10,Delaware
8,FL,156.24315890284578,12,Florida
9,GA,131.48441203986445,13,Georgia
10,HI,245.91497228936365,15,Hawaii
12,ID,111.08785729505377,16,Idaho
13,IL,150.204490123512,17,Illinois
14,IN,224.17809476459934,18,Indiana
11,IA,150.97453665177613,19,Iowa
15,KS,90.85626181590312,20,Kansas
16,KY,124.54207096335689,21,Kentucky
17,LA,210.6501507744448,22,Louisiana
20,ME,114.58817739166666,23,Maine
19,MD,76.10328947360914,24,Maryland
18,MA,47.63242663255971,25,Massachusetts
21,MI,91.90591473612265,26,Michigan
22,MN,116.47941688468455,27,Minnesota
24,MS,182.27046487896018,28,Mississippi
23,MO,76.18942521163673,29,Missouri
25,MT,275.969600177197,30,Montana
28,NE,125.32949273592892,31,Nebraska
32,NV,150.6113273474608,32,Nevada
29,NH,26.829276037653337,33,New Hampshire
30,NJ,116.81016610685252,34,New Jersey
31,NM,120.99219678231579,35,New Mexico
33,NY,117.24936742356,36,New York
26,NC,102.91036227733333,37,North Carolina
27,ND,122.08642573278416,38,North Dakota
34,OH,119.97758919367273,39,Ohio
35,OK,210.23534849335456,40,Oklahoma
36,OR,79.84972131695812,41,Oregon
37,PA,89.82234154211962,42,Pennsylvania
38,RI,25.180072590863634,44,Rhode Island
39,SC,116.89499967641403,45,South Carolina
40,SD,150.54033363995313,46,South Dakota
41,TN,136.8458142405841,47,Tennessee
42,TX,217.0627891764814,48,Texas
43,UT,106.48017329594792,49,Utah
45,VT,41.17367011440909,50,Vermont
44,VA,175.8948145208303,51,Virginia
46,WA,170.39416873519752,53,Washington
48,WV,116.96116728360593,54,West Virginia
47,WI,70.68419212298747,55,Wisconsin
49,WY,208.51478063165115,56,Wyoming
