,state_abrv,2005_lead_mg/L_x_population_served,2006_lead_mg/L_x_population_served,2007_lead_mg/L_x_population_served,2008_lead_mg/L_x_population_served,2009_lead_mg/L_x_population_served,2010_lead_mg/L_x_population_served,2011_lead_mg/L_x_population_served,2012_lead_mg/L_x_population_served,2013_lead_mg/L_x_population_served,2014_lead_mg/L_x_population_served,2015_lead_mg/L_x_population_served,2016_lead_mg/L_x_population_served,2017_lead_mg/L_x_population_served,2018_lead_mg/L_x_population_served,2019_lead_mg/L_x_population_served,2020_lead_mg/L_x_population_served,fips
1,AL,1.669900591290602e-05,2.0661828937801576e-05,1.618115504682622e-05,1.936101735440543e-05,2.1948023734385277e-05,2.008234844444445e-05,2.028437821487603e-05,1.9157124455791457e-05,1.540450359183673e-05,1.622684490265008e-05,1.6542558240150813e-05,1.29390625e-06,1.6563374173284652e-06,1.5919765658083466e-06,2.5250432322485204e-06,1.8745032656249997e-06,01
0,AK,3.839867777777777e-05,1.1259753086419754e-05,4.0259025e-05,4.38817921111111e-05,4.0602384e-05,3.15496779481e-05,3.99424e-05,2.6739241000000002e-05,1.940794075308642e-05,1.4523176576530612e-05,1.1799225e-05,7.810500528925622e-06,4.439065917355371e-06,1.0318112033057853e-05,3.887469444444444e-06,5.004808163265307e-06,02
3,AZ,1.403564715972377e-05,0.0017744924794710782,7.196910851211073e-06,9.431723456790121e-06,1.4455955022100291e-05,5.941857647462276e-06,0.0001358126082844444,1.9098224265381076e-05,7.077646301775147e-06,1.760579437585734e-05,1.309965288900833e-05,4.125043898375675e-06,3.5853934258582906e-06,6.666724000000001e-06,2.9510331632653063e-06,1.7078454631379958e-05,04
2,AR,2.1869377162629758e-05,2.9027905039566854e-05,2.2903061224489804e-05,7.146146565711199e-05,2.0799127640036726e-05,4.225e-05,1.8884926078341715e-05,2.8444444444444444e-05,0.00024024999999999999,9.576515704894085e-06,9.50625e-05,5.184000000000001e-05,6.676904672546446e-05,0.00015061983471074383,4.144140625000001e-05,6.524023806067644e-06,05
4,CA,0.0005407313184610606,2.183702367738193e-05,5.2273467060361394e-05,5.344903628117914e-06,4.744533548406536e-06,4.05713202079854e-06,5.725013289999999e-06,2.3758319291200795e-06,2.311946021258259e-06,2.3435386741973845e-06,1.1914984326309834e-06,1.3355982598723517e-06,7.057744052394008e-07,7.185655627458062e-07,1.059184027777778e-06,3.7030241051862677e-06,06
5,CO,2.9225166138336926e-05,1.7322937673611108e-05,1.5072881859410434e-05,1.712602891695781e-05,2.9597629766803835e-05,4.0388216409036856e-05,2.2497478419966226e-05,5.600027777777779e-05,4.1530864197530855e-05,1.4269891711786757e-05,5.228402366863905e-05,2.5755625000000006e-05,1.1115304378782486e-05,1.1758385818170469e-05,1.1089263937412282e-05,9.031774026483018e-06,08
6,CT,6.539886578449906e-07,7.862537913516068e-06,9.29378775510204e-06,1.446964923335434e-06,2.34855625e-06,1.5465685956790124e-06,4.642151111111112e-07,1.1630047216260577e-06,4.5886704822668425e-07,9.850562499999998e-07,1.5952788279773159e-06,6.33781413391803e-07,7.180332409972299e-07,8.30786575462915e-07,8.327165241170535e-07,1.449616e-06,09
7,DE,1.897086419753086e-05,8.7616e-06,6.093179930795849e-05,1.7639999999999997e-05,2.828305785123967e-05,3.6478757702422146e-05,0.0001273136111111111,1.8650059183673468e-05,1.475840277777778e-05,9.9225e-06,7.91015625e-06,1.2472421609418285e-05,4.5369e-06,4.231836734693878e-06,6.2015625e-07,5.725765306122451e-06,10
8,FL,4.243600000000001e-06,3.08025e-05,2.7663349658198137e-05,1.7595143056931413e-05,1.55531640625e-05,1.4592400000000001e-05,8.917877725501443e-06,9.798663459631025e-06,6.276624038026255e-06,5.238705013645367e-06,6.093844897959186e-06,1.0267844990548203e-05,7.503047574602225e-06,5.604913630425316e-06,6.172919545116376e-06,4.996387784423135e-06,12
9,GA,1.0835069444444444e-05,1.2388933376736109e-05,1.0301237778408862e-05,1.4439999853846153e-05,7.0180091927607e-06,1.7405103773096633e-05,1.781103759765625e-05,9.262355169550172e-06,8.692212344510545e-06,4.81833415988891e-06,4.415835262345679e-06,1.4915043999999997e-05,6.404567191766436e-06,6.460311510204081e-06,4.658402777777777e-06,3.7297265624999994e-06,13
