,State,home_care_spend_Y2005,home_care_spend_Y2006,home_care_spend_Y2007,home_care_spend_Y2008,home_care_spend_Y2009,state_abrv
0,Alabama,277.808,303.524,330.131,366.079,393.117,AL
1,Alaska,1.48,1.502,1.493,2.026,2.456,AK
2,Arizona,225.494,248.681,283.95,280.158,305.369,AZ
3,Arkansas,123.291,137.784,159.688,188.361,210.404,AR
4,California,1718.395,2002.641,2321.794,2588.868,2824.052,CA
5,Colorado,220.54,243.279,273.394,294.887,306.686,CO
6,Connecticut,488.118,512.43,545.193,593.582,612.732,CT
7,Delaware,52.211,56.316,66.949,92.833,104.965,DE
8,Florida,1620.544,1839.258,2014.062,2222.272,2421.671,FL
9,Georgia,309.758,347.661,386.947,453.925,498.547,GA
10,Hawaii,30.553,32.292,34.794,41.219,46.008,HI
11,Idaho,59.428,64.036,72.767,77.753,83.341,ID
12,Illinois,953.931,1046.281,1144.251,1304.953,1411.649,IL
13,Indiana,544.178,602.638,661.236,761.232,819.762,IN
14,Iowa,86.189,98.599,111.649,132.492,155.809,IA
15,Kansas,98.408,109.945,125.546,150.248,168.924,KS
16,Kentucky,267.219,301.421,338.831,373.687,396.88,KY
17,Louisiana,220.647,239.202,278.433,325.87,331.675,LA
18,Maine,98.839,101.062,110.742,122.82,131.313,ME
19,Maryland,392.259,438.279,492.918,565.939,610.571,MD
20,Massachusetts,746.185,823.135,917.818,1006.268,1062.227,MA
21,Michigan,707.915,770.668,824.383,915.28,994.256,MI
22,Minnesota,330.64,330.972,365.384,415.43,443.121,MN
23,Mississippi,129.651,151.565,169.267,195.243,217.934,MS
24,Missouri,356.264,407.772,467.2,518.257,563.309,MO
25,Montana,25.643,26.62,27.719,29.002,34.884,MT
26,Nebraska,78.959,87.557,100.362,117.634,130.93,NE
27,Nevada,112.44,125.588,142.225,154.935,174.245,NV
28,New Hampshire,88.513,97.528,108.021,122.686,129.911,NH
29,New Jersey,824.549,971.146,1090.786,1208.148,1300.635,NJ
30,New Mexico,63.141,68.753,77.719,102.065,109.04,NM
31,New York,1417.949,1477.274,1590.731,1744.502,1849.034,NY
32,North Carolina,531.765,570.796,632.84,704.663,764.401,NC
33,North Dakota,15.776,15.408,17.158,17.54,20.321,ND
34,Ohio,1108.415,1232.177,1360.422,1441.496,1517.194,OH
35,Oklahoma,137.832,152.442,171.883,189.97,202.227,OK
36,Oregon,158.099,167.322,182.117,188.223,208.781,OR
37,Pennsylvania,1098.589,1173.496,1281.219,1414.182,1546.201,PA
38,Rhode Island,110.341,113.384,118.968,125.184,142.701,RI
39,South Carolina,225.347,248.46,287.85,326.039,349.953,SC
40,South Dakota,21.696,24.697,30.352,37.229,42.437,SD
41,Tennessee,430.6,480.933,524.605,566.418,604.815,TN
42,Texas,1081.811,1230.636,1421.327,1642.842,1745.165,TX
43,Utah,100.121,105.369,111.217,119.54,132.831,UT
44,Vermont,29.751,31.212,36.077,38.694,45.339,VT
45,Virginia,430.933,470.586,515.227,571.384,599.446,VA
46,Washington,338.811,372.954,420.708,445.047,489.003,WA
47,West Virginia,94.221,103.454,112.42,131.855,141.802,WV
48,Wisconsin,396.09,434.175,472.562,511.184,544.833,WI
49,Wyoming,17.542,18.413,18.324,19.507,20.611,WY
