,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018,PCT_LACCESS_POP10,PCT_LACCESS_POP15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,PCT_LACCESS_SNAP15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,GROCPTH11,GROCPTH16,SUPERCPTH11,SUPERCPTH16,CONVSPTH11,CONVSPTH16,SPECSPTH11,SPECSPTH16,SNAPSPTH12,SNAPSPTH17,WICSPTH11,WICSPTH16,FFRPTH11,FFRPTH16,FSRPTH11,FSRPTH16,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14,MEDHHINC15,POVRATE15,CHILDPOVRATE15,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,RECFACPTH11,RECFACPTH16,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,PC_DIRSALES07,PC_DIRSALES12,FMRKTPTH13,FMRKTPTH18,PCT_FMRKT_CREDIT18,PCT_FMRKT_FRVEG18,PCT_FMRKT_ANMLPROD18,PCT_FMRKT_BAKED18,PCT_FMRKT_OTHERFOOD18,VEG_ACRESPTH07,VEG_ACRESPTH12,FRESHVEG_ACRESPTH07,FRESHVEG_ACRESPTH12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,FARM_TO_SCHOOL13,FARM_TO_SCHOOL15,PCT_SNAP12,PCT_SNAP17,PC_SNAPBEN12,PC_SNAPBEN17,SNAP_PART_RATE11,SNAP_PART_RATE16,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PC_WIC_REDEMP11,PC_WIC_REDEMP16,PCT_WICINFANTCHILD14,PCT_WICINFANTCHILD16,PCT_WICWOMEN14,PCT_WICWOMEN16,PCT_CACFP12,PCT_CACFP17,PCT_OBESE_ADULTS20,PCT_OBESE_ADULTS14,2019_cancer_death_rate,2018_cancer_death_rate,2017_cancer_death_rate,2016_cancer_death_rate,2015_cancer_death_rate,2014_cancer_death_rate,2019 heart_disease_death_rate,2018 heart_disease_death_rate,2017 heart_disease_death_rate,2016 heart_disease_death_rate,2015 heart_disease_death_rate,2014 heart_disease_death_rate
0,Alabama,0.029466919,0.028775831,0.0270618,0.027226127,0.026550193,0.02543375,0.024674291,0.116904065,0.111721093,0.109675029,0.109476153,0.108110694,0.104949838,0.102218595,0.046617541,0.046408201,0.048855099,0.052392727,0.054874806,0.055654856,0.054701126,0.008909393,0.008666359,0.009300759,0.010562963,0.012220065,0.012586665,0.01342875,0.00541515,0.006274351,0.008773189,0.010243841,0.010008952,0.010588868,0.010479409,4815564,4830460,4842481,4853160,4864745,4875120,4887871,16.67840036,16.17110535,7.268922598,7.356873346,3.10331429,3.882389779,3.761755009,2.443081296,2.366152148,0.208574149,0.182860683,0.018790369,0.021936116,0.719463728,0.733527686,0.030562893,0.026236251,1.023794639,1.045681795,0.210694494,0.187503065,0.560025438,0.628842489,0.498348373,0.490293876,16.8,16.3,7.2,7.1,4,4,4,4,4,39830.10448,22.00746269,31.62835821,13.05522388,15.48955224,33,36.3,0.043047607,0.049532473,4.624705914,5.476262107,0.325862958,0.373894641,2.851620632,2.704398766,0.053854249,0.055083645,31.12170234,54.25927074,33.27375714,40.47671292,47.40530532,5.430458652,5.387502098,3.376565784,3.56669836,9.343548688,7.570553176,0.270120895,0.381181973,36.44594153,27.79980495,0.412698413,0.426229508,18.90847619,16.50005631,28.38402135,22.45982418,84.02,86.898,0,1,0,0,0,1,1,1,56.95006458,52.42839773,6.607539846,5.287747762,23.96499736,20.17000282,33.48121147,32.91087574,3.318826904,3.309759047,0.891238705,1.258762762,39,33.5,160.8,170.4,170,174,175.6,177.6,219.6,224.7,223.2,222.5,229.7,224
1,Alaska,0.034185881,0.031279863,0.026625669,0.026685757,0.025786667,0.024585714,0.023178107,0.073822408,0.071223637,0.069268494,0.072696282,0.070774808,0.072423606,0.072756601,0.028421068,0.028140399,0.028581432,0.034046957,0.035035744,0.036184988,0.03661406,0.014431496,0.014873922,0.015522737,0.014624831,0.0135387,0.013628941,0.012946173,0.006381444,0.006889674,0.009058721,0.007931698,0.006322286,0.00670329,0.005784893,730399,737045,736307,737547,741504,739786,737438,38.29791223,48.34378869,14.98399115,18.91715945,9.441927736,10.21903216,12.68465299,3.108081686,3.954662551,0.692630482,0.726805481,0.007670775,0.0082424,0.309408266,0.274247423,0.034158344,0.045502193,1.636546282,1.525591872,0.870721056,0.776865317,0.292994147,0.326972691,0.736376473,0.685158346,12,11.6,4.3,3.7,0,0,0,0,0,61646.17857,13.08571429,18.16428571,6.458333333,7.017241379,25.7,34.2,0.05219589,0.053022424,22.93265246,32.17063737,3.639665,3.942734015,3.285837489,4.647541139,0.061657352,0.077112037,23.14625849,25.05102049,20.1020407,23.50340135,22.90816321,3.300491775,3.078468614,3.634614357,0.614455505,0,0.01674408,0.073213515,0.097145744,383.5645117,455.8236233,0.846153846,1,12.49241155,12.04557794,30.76815011,29.54730946,78.851,71.454,0,0,0,0,0,0,1,1,37.56142804,37.92055046,6.896147407,3.754947909,41.42392155,33.55442437,26.97346692,26.54076646,3.205084491,3.065642126,1.44230835,1.362877554,31.9,29.7,146.9,141.5,139.2,158.7,159.8,164.2,129.7,129.7,135,141,154.1,146.6
2,Arizona,0.029468509,0.027505769,0.025694131,0.024448658,0.02361225,0.021777952,0.020847841,0.101033554,0.097478048,0.095662106,0.094741589,0.092297116,0.090530201,0.087527406,0.041880715,0.043635304,0.044603879,0.045180081,0.045496225,0.044649053,0.043760034,0.006355514,0.006472533,0.005991232,0.006226809,0.006136102,0.005998793,0.006927036,0.004202464,0.003570159,0.003446622,0.002160356,0.002004765,0.001745101,0.002049878,6556629,6634999,6733840,6833596,6945452,7048876,7171646,34.56283467,36.37027488,14.92628471,17.28932423,6.579101198,8.411337889,8.963085356,6.605398187,6.780754616,0.144685068,0.145521204,0.01896126,0.02263086,0.484241849,0.468572092,0.055298193,0.046327729,0.73325303,0.740765586,0.161854873,0.149411828,0.545042524,0.548442552,0.690742553,0.711838381,19.9,17.4,8.1,6.5,0,0,0,0,0,44016.73333,20.52,28.83333333,9.413333333,11.09333333,26,29.5,0.051794787,0.051039371,6.369747527,8.278830573,0.497893124,0.879966155,2.819579062,2.696297799,0.02037377,0.022004324,43.43589757,51.56837591,47.8290596,50.3290596,44.3888888,100.3876943,96.85876736,70.2825101,87.68217715,14.03882063,15.80522179,0.00506255,0.016239187,21.24573978,103.6159911,0.8,0.8,17.17509312,13.09424618,26.70535647,21.07622897,78.009,73.5,1,1,1,1,1,1,1,1,39.31982537,49.44959103,12.63193329,8.612097179,19.9202858,16.66426655,29.68571273,28.44362313,3.226641641,2.850141825,0.636757433,0.602667087,30.9,28.9,131.1,131.9,135.8,136.8,141.3,142.7,134,136.4,141.9,138.9,138.8,136.4
3,Arkansas,0.031940809,0.030334633,0.028064782,0.028276721,0.026937666,0.025480711,0.024423034,0.11818971,0.112347166,0.110343453,0.107749334,0.106018678,0.104629304,0.103204689,0.054882113,0.056216837,0.058160591,0.060475596,0.061432105,0.06155547,0.062963946,0.018897337,0.02285137,0.025892299,0.022825792,0.022372517,0.021128975,0.018927028,0.00888077,0.014173105,0.015445159,0.010435444,0.011960567,0.007840168,0.006042488,2952109,2959549,2967726,2978407,2990410,3002997,3013825,20.08060893,22.6098194,9.151375625,10.93131402,3.924007667,4.614921944,5.170001781,3.328826135,3.766877977,0.207209203,0.185396391,0.024165479,0.026203965,0.553438923,0.597866909,0.035941689,0.035592378,0.913713057,0.951614477,0.18492056,0.167634691,0.499145327,0.553159216,0.564592377,0.574796701,15.4,13.1,6.2,5.7,1.5,1.5,1.5,1.5,1.5,38592.68,21.16266667,31.21466667,11.31066667,13.308,34.5,35,0.047157027,0.04827042,3.422644584,3.094208146,0.219674271,0.14885746,3.641142729,3.041900654,0.041711587,0.055294705,31.05959585,40.64848475,33.98181808,37.93737361,38.20404027,9.100998252,9.311155152,3.698985504,1.977846757,11.33435378,12.92818232,0.5202732,0.326342282,4.287847749,9.484456805,0.277777778,0.324324324,17.02574895,12.92696462,22.97493624,15.89166004,71.82,72.327,0,1,0,0,0,0,1,1,56.20144235,61.73598282,9.91539115,8.371699282,24.42000724,19.79416389,32.00875594,30.7490413,3.707616977,3.595835277,1.89159259,2.111995923,36.4,35.9,165.7,168.8,173.6,178.8,185.4,183.1,226.5,217.4,223.8,223.7,223.2,217.5
4,California,0.038789197,0.037404665,0.034923851,0.03247505,0.029964322,0.027417739,0.0255199,0.088393712,0.086063465,0.084937755,0.083991786,0.082938836,0.081619685,0.080319846,0.037054562,0.03963711,0.042611882,0.043415212,0.043941527,0.043834839,0.043144128,0.009560683,0.011792379,0.013252062,0.014444714,0.015177289,0.015682537,0.015790468,0.002749785,0.002995991,0.003000947,0.003286641,0.00314919,0.003864302,0.003660031,37960782,38280824,38625139,38953142,39209127,39399349,39557045,19.98308706,19.34413974,6.064050705,6.210380601,1.47566712,4.357279545,4.21677304,2.944243283,2.86863719,0.274351426,0.260060205,0.004584161,0.007365727,0.331251368,0.338473387,0.079460038,0.080116698,0.692391035,0.743058726,0.182477838,0.150789839,0.64337774,0.634526112,0.844312536,0.861020328,13.5,11.2,5.1,4.1,6.5,6.5,0,6.5,0,57650.93103,16.29482759,22.24655172,7.606896552,8.774137931,25,25.1,0.08990386,0.093669381,9.623427387,12.7866292,1.104350837,1.07862592,11.02742661,11.02373415,0.047073349,0.048298758,52.62891228,57.31890317,45.33111513,51.93755742,51.94982519,92.52959827,89.326947,61.60241704,50.42670516,253.1393603,309.982546,1.9536255,2.246658327,222.4508872,755.4603658,0.946428571,0.894736842,10.42694431,10.40064266,16.29711177,15.77975722,54.917,71.944,0.5,1,0,0,1,1,0,1,44.39548886,48.15694961,8.593235684,8.750979554,24.87388101,21.08190372,41.02250467,35.63348404,3.757710168,3.249196221,0.954604126,1.562807428,30.3,24.7,131.6,135,136.7,139.7,142.8,144.1,136.9,139.7,142.9,143.1,145.6,142.2
5,Colorado,0.019979654,0.018380403,0.01719065,0.016682266,0.015701241,0.015061234,0.014969237,0.075082087,0.07115731,0.069642967,0.069372984,0.067993068,0.065647069,0.064502129,0.027524708,0.02954821,0.031580027,0.033934342,0.033806227,0.032617989,0.031557939,0.006267231,0.006167795,0.005945656,0.007945506,0.007880053,0.007803288,0.007453432,0.003205024,0.003402535,0.003564796,0.003701321,0.003593085,0.004853717,0.004561269,5193721,5270482,5351218,5452107,5540921,5615902,5695564,30.00948722,24.42129564,9.865994237,8.80842525,2.427747839,6.588304304,5.443331458,4.710516394,3.922603136,0.368944204,0.394208114,0.015749377,0.017062606,0.579619645,0.567493008,0.072780208,0.075522245,0.723756338,0.764669123,0.232376418,0.216003926,0.6974797,0.681228176,1.728465459,1.644690826,13.6,9.2,5.2,3.8,2.91,2.91,0,0,0,53810.53125,14.36875,20.784375,5.621875,6.4828125,20.5,22.6,0.083800407,0.076026243,6.925770846,7.430938274,0.915597867,0.813356171,9.978156424,9.814104125,0.064570135,0.093842068,40.55832183,43.05097669,37.96798676,41.63728619,41.89770287,182.6846054,178.302791,100.9122125,37.94051362,2.9347327,2.431989843,0.007146605,0.066312163,66.05185695,154.9635748,0.6,0.533333333,9.479336384,8.190382024,13.7444371,11.60593854,67.243,78.183,0,1,0,0,0,1,1,1,34.89129304,37.43294979,9.496313479,10.19746216,16.04885284,13.02658163,20.59655934,19.16838852,2.158665717,1.987090751,0.627616253,0.781546218,24.2,21.3,125.9,127.6,130.9,137.1,134.4,136,127.7,124.3,122.7,129.8,128.4,130.3
6,Connecticut,0.015742172,0.01509025,0.014621397,0.014298338,0.013735558,0.013383121,0.013238623,0.082545015,0.077958279,0.078755839,0.080353351,0.08052031,0.079240985,0.077843222,0.024073399,0.024470919,0.025947814,0.028154041,0.030200111,0.030286535,0.030178606,0.005654985,0.005780317,0.005697075,0.006097058,0.006349139,0.006355068,0.006801015,0.002833578,0.003385616,0.004805297,0.007881792,0.007834745,0.009137128,0.008822266,3594395,3594915,3594783,3587509,3578674,3573880,3572665,27.34353527,27.96387673,4.530221916,4.904596455,2.036052369,5.973433967,6.190564979,4.001413603,4.131064628,0.194639731,0.204429219,0.006819526,0.008395854,0.334905599,0.367139985,0.069104559,0.072652542,0.604619716,0.615223066,0.146565488,0.164453526,0.533452705,0.643186183,0.932868217,0.923410532,13.9,12.2,6,4.7,6.35,6.35,0,0,0,72445.125,9.6125,13.1375,7.675,8.475,25.6,26.9,0.127170591,0.138243577,22.4599026,23.55060326,5.615574126,6.043772779,12.08882956,13.11693382,0.056823606,0.057880257,39.9588815,37.96483374,36.03031015,37.60769081,37.5184052,3.636009942,3.607271917,4.869039932,3.345233859,1.505857576,1.486934038,0.379819661,0.443531847,133.7489153,354.7663121,1,1,11.21454974,11.43599148,14.01349032,13.52547938,81.284,91.387,0,1,0,0,1,1,1,1,24.34515741,29.01750937,4.845413484,4.955599965,9.213026166,9.282030284,21.14872027,20.06815774,1.64083918,1.583350931,0.564978229,0.632973393,29.2,26.3,131.9,134.1,139.5,144.9,146.2,146.7,143.1,142.1,141.6,144.3,147.8,145.6
7,Delaware,0.024272244,0.022516307,0.021309156,0.020180215,0.019065646,0.01793114,0.017366974,0.104940355,0.10238944,0.101805525,0.104093619,0.103799333,0.103415674,0.101306245,0.042203477,0.042789485,0.044110077,0.050966051,0.054126439,0.05511126,0.05471522,0.020068827,0.020588153,0.020250998,0.021230586,0.021684474,0.023323595,0.024717966,0.015697321,0.00886711,0.010653059,0.01107378,0.012542983,0.016113629,0.015343719,915188,923638,932596,941413,949216,957078,967171,22.36956721,17.48916477,5.413734067,4.618437671,2.184097092,5.067686008,3.953411955,3.57936941,2.879384953,0.169368542,0.18255096,0.0137618,0.014768033,0.385359191,0.340044744,0.109830576,0.081771703,0.825943263,0.767836682,0.100730071,0.095428037,0.66498901,0.666420896,0.859681053,0.857706899,13.2,11.2,4.9,4.5,0,0,0,0,0,58722,12.86666667,20.1,10.16666667,11.66666667,26.9,31.8,0.128651707,0.131131893,9.796736859,8.606719397,0.560995237,0.446418625,6.384985213,6.922393086,0.03724837,0.041717098,71.44607798,81.61764781,73.40686289,71.20098114,69.24019623,77.13164793,70.97444945,21.96647734,17.24386822,0,0.034785092,0.135256674,0.151065915,360.1495527,212.2898862,1,1,16.16994849,15.26140605,22.23543612,18.79758771,86.184,98.691,1,1,0,0,1,1,1,1,42.74807444,38.34710468,5.809228951,0,8.76431338,10.52210871,27.34633327,24.4710399,2.449615856,2.286339229,2.003205478,2.320573342,36.5,30.7,151.9,159.4,160.4,170.8,165.6,167.3,154.3,159.1,158.4,163.2,165.2,168.7
8,Florida,0.025633806,0.024718119,0.023500898,0.023922314,0.023340766,0.022351661,0.021156711,0.085566609,0.083768401,0.083141689,0.082857445,0.082605626,0.081799134,0.082287788,0.036804127,0.038386907,0.03892589,0.038889626,0.040349093,0.040761074,0.040663782,0.010891752,0.011439393,0.012509057,0.013327627,0.014531205,0.014402105,0.014646344,0.007129999,0.007431773,0.007833203,0.0080803,0.0121956,0.010927304,0.009961771,19326230,19563166,19860330,20224249,20629982,20976812,21299325,24.07695603,23.76540249,8.298271549,9.352116655,3.374477329,5.033057227,4.922686761,4.679633978,4.643656648,0.179175134,0.165334316,0.016556324,0.017848259,0.537714051,0.528343998,0.057984958,0.060234789,0.891365821,0.864575271,0.128330957,0.123260854,0.495879881,0.519815348,0.673430622,0.685138736,13.8,11.9,5.5,4.2,6,6,0,6,0,45390.35821,18.39701493,27.2761194,10.35522388,12.03432836,25.2,28.4,0.067692244,0.074932128,6.5780965,7.146337739,0.553237331,0.434568221,2.708061775,2.593506591,0.019746782,0.021166462,49.03516866,52.02277807,43.3054879,46.56968643,47.95739074,34.99878261,34.15658729,14.73469398,15.79685079,151.1264251,127.3403074,0.780298751,1.809906256,284.3227294,278.2433216,0.630769231,0.779661017,17.33626697,15.1852654,24.0982345,21.87052611,82.782,91.694,1,1,1,1,0,1,1,1,50.45393752,43.28963624,7.467104724,3.169669538,19.4968317,18.11464174,32.9483784,32.96049307,3.205428816,3.166086146,1.088325015,1.439689722,28.4,26.2,139.1,141.7,145.9,146.9,150.6,152.9,140.1,143.1,145.8,146.2,149.8,151.3
9,Georgia,0.030689773,0.029029876,0.026955604,0.025959732,0.024615082,0.022781443,0.020694482,0.129983663,0.124869839,0.122783228,0.12141637,0.118840858,0.116316247,0.113155614,0.062682932,0.060976457,0.062235545,0.061577783,0.062757584,0.062414334,0.061452865,0.013663213,0.013843927,0.014013754,0.013918103,0.013775183,0.01382793,0.013853448,0.008569816,0.007174838,0.009737212,0.009943807,0.008554879,0.008493761,0.008920502,9901496,9973326,10069001,10181111,10304763,10413055,10519475,17.38332566,16.96529916,7.217427998,7.66353585,3.142884595,4.306228989,4.251037034,2.167691604,2.144126849,0.19741847,0.184180194,0.014472764,0.016971619,0.773259622,0.81283824,0.036227376,0.034373696,1.174872411,1.129673035,0.215741095,0.185992025,0.533011528,0.599782455,0.525240253,0.501365647,15.7,13,6.2,4.4,0,4,0,4,0,42510.31447,21.91257862,31.96352201,11.70943396,12.68679245,29.1,31.6,0.044515191,0.050215062,4.023996189,5.873696049,0.343191276,0.825189042,2.399127386,2.944173703,0.016221956,0.021368253,31.11393318,38.65707143,31.51608607,35.05382195,37.08474439,51.65881374,51.24254974,36.64180532,16.54237011,49.21606944,51.11903755,6.898933919,10.37212671,19.002149,59.10638821,0.528985507,0.566176471,19.29982592,15.58496196,31.21833898,24.05622819,86.947,86.385,1,0,0,0,1,1,1,1,57.66389269,69.50531036,7.817442098,4.49924699,26.10748412,20.51590461,30.25853909,28.30764471,3.258189251,2.992187059,1.364987548,1.380628703,34.3,30.5,151.4,152.4,154.9,160.2,163,165.5,175.5,175.8,175.8,179,180.2,179.7
